countryCode,postalCode,postalCity
SE,11865,Stockholm
SE,11866,Stockholm
SE,11867,Stockholm
SE,11869,Stockholm
SE,11872,Stockholm
SE,11882,Stockholm
SE,11883,Stockholm
SE,11885,Stockholm
SE,11886,Stockholm
SE,11888,Stockholm
SE,11890,Stockholm
SE,11891,Stockholm
SE,11892,Stockholm
SE,11893,Stockholm
SE,11894,Stockholm
SE,11895,Stockholm
SE,12000,Stockholm
SE,12001,Stockholm
SE,12002,Årsta
SE,12004,Årsta
SE,12006,Stockholm
SE,12007,Stockholm
SE,12008,Stockholm
SE,12009,Stockholm
SE,12010,Årsta
SE,12011,Stockholm
SE,12012,Stockholm
SE,12020,Stockholm
SE,12021,Stockholm
SE,12022,Stockholm
SE,12023,Stockholm
SE,12024,Stockholm
SE,12025,Stockholm
SE,12030,Stockholm
SE,12031,Stockholm
SE,12032,Stockholm
SE,12038,Årsta
SE,12039,Årsta
SE,12040,Årsta
SE,12044,Årsta
SE,12047,Enskede Gård
SE,12048,Enskede Gård
SE,12050,Årsta
SE,12051,Årsta
SE,12052,Årsta
SE,12053,Årsta
SE,12054,Årsta
SE,12055,Årsta
SE,12056,Årsta
SE,12057,Årsta
SE,12058,Årsta
SE,12059,Årsta
SE,12060,Årsta
SE,12061,Stockholm
SE,12062,Stockholm
SE,12063,Stockholm
SE,12064,Stockholm
SE,12065,Stockholm
SE,12066,Stockholm
SE,12067,Stockholm
SE,12068,Stockholm
SE,12069,Stockholm
SE,12070,Stockholm
SE,12071,Stockholm
SE,12078,Stockholm
SE,12079,Stockholm
SE,12082,Stockholm
SE,12083,Stockholm
SE,12086,Stockholm
SE,12087,Stockholm
SE,12088,Stockholm
SE,12090,Stockholm
SE,12100,Johanneshov
SE,12105,Johanneshov
SE,12106,Johanneshov
SE,12107,Stockholm-Globen
SE,12114,Enskededalen
SE,12115,Enskededalen
SE,12116,Johanneshov
SE,12117,Johanneshov
SE,12118,Johanneshov
SE,12120,Johanneshov
SE,12121,Johanneshov
SE,12122,Johanneshov
SE,12123,Johanneshov
SE,12125,Stockholm-Globen
SE,12126,Stockholm-Globen
SE,12127,Stockholm-Globen
SE,12128,Stockholm-Globen
SE,12129,Stockholm
SE,12130,Enskededalen
SE,12131,Enskededalen
SE,12132,Enskededalen
SE,12133,Enskededalen
SE,12134,Enskededalen
SE,12135,Johanneshov
SE,12136,Johanneshov
SE,12137,Johanneshov
SE,12138,Johanneshov
SE,12139,Johanneshov
SE,12140,Johanneshov
SE,12143,Johanneshov
SE,12144,Johanneshov
SE,12145,Johanneshov
SE,12146,Johanneshov
SE,12147,Johanneshov
SE,12148,Johanneshov
SE,12149,Johanneshov
SE,12150,Johanneshov
SE,12151,Johanneshov
SE,12152,Johanneshov
SE,12153,Johanneshov
SE,12154,Johanneshov
SE,12155,Johanneshov
SE,12156,Johanneshov
SE,12162,Johanneshov
SE,12163,Johanneshov
SE,12177,Johanneshov
SE,12187,Enskededalen
SE,12188,Stockholm-Globen
SE,12200,Enskede
SE,12203,Enskede
SE,12206,Enskede
SE,12220,Enskede
SE,12231,Enskede
SE,12232,Enskede
SE,12233,Enskede
SE,12234,Enskede
SE,12237,Enskede
SE,12238,Enskede
SE,12239,Enskede
SE,12240,Enskede
SE,12241,Enskede
SE,12242,Enskede
SE,12243,Enskede
SE,12244,Enskede
SE,12245,Enskede
SE,12246,Enskede
SE,12247,Enskede
SE,12248,Enskede
SE,12249,Enskede
SE,12260,Enskede
SE,12262,Enskede
SE,12263,Enskede
SE,12264,Enskede
SE,12265,Enskede
SE,12266,Enskede
SE,12286,Enskede
SE,12288,Enskede
SE,12300,Farsta
SE,12305,Farsta
SE,12320,Farsta
SE,12321,Farsta
SE,12322,Farsta
SE,12323,Farsta
SE,12331,Farsta
SE,12332,Farsta
SE,12333,Farsta
SE,12334,Farsta
SE,12340,Farsta
SE,12341,Farsta
SE,12342,Farsta
SE,12343,Farsta
SE,12344,Farsta
SE,12346,Farsta
SE,12347,Farsta
SE,12348,Farsta
SE,12349,Farsta
SE,12350,Farsta
SE,12352,Farsta
SE,12353,Farsta
SE,12354,Farsta
SE,12355,Farsta
SE,12356,Farsta
SE,12357,Farsta
SE,12358,Farsta
SE,12359,Farsta
SE,12360,Farsta
SE,12361,Farsta
SE,12363,Farsta
SE,12371,Farsta
SE,12372,Farsta
SE,12373,Farsta
SE,12386,Farsta
SE,12400,Bandhagen
SE,12404,Bandhagen
SE,12420,Bandhagen
SE,12421,Bandhagen
SE,12422,Bandhagen
SE,12430,Bandhagen
SE,12431,Bandhagen
SE,12432,Bandhagen
SE,12433,Bandhagen
SE,12434,Bandhagen
SE,12450,Bandhagen
SE,12451,Bandhagen
SE,12452,Bandhagen
SE,12453,Bandhagen
SE,12454,Bandhagen
SE,12455,Bandhagen
SE,12456,Bandhagen
SE,12457,Bandhagen
SE,12458,Bandhagen
SE,12459,Bandhagen
SE,12460,Bandhagen
SE,12461,Bandhagen
SE,12462,Bandhagen
SE,12463,Bandhagen
SE,12464,Bandhagen
SE,12465,Bandhagen
SE,12466,Bandhagen
SE,12467,Bandhagen
SE,12470,Bandhagen
SE,12471,Bandhagen
SE,12472,Bandhagen
SE,12473,Bandhagen
SE,12474,Bandhagen
SE,12475,Bandhagen
SE,12476,Bandhagen
SE,12477,Bandhagen
SE,12502,Älvsjö
SE,12503,Älvsjö
SE,12505,Älvsjö
SE,12520,Älvsjö
SE,12521,Älvsjö
SE,12522,Älvsjö
SE,12523,Älvsjö
SE,12524,Älvsjö
SE,12530,Älvsjö
SE,12531,Älvsjö
SE,12532,Älvsjö
SE,12533,Älvsjö
SE,12534,Älvsjö
SE,12535,Älvsjö
SE,12540,Älvsjö
SE,12541,Älvsjö
SE,12542,Älvsjö
SE,12543,Älvsjö
SE,12544,Älvsjö
SE,12545,Älvsjö
SE,12546,Älvsjö
SE,12547,Älvsjö
SE,12548,Älvsjö
SE,12549,Älvsjö
SE,12551,Älvsjö
SE,12552,Älvsjö
SE,12553,Älvsjö
SE,12554,Älvsjö
SE,12555,Älvsjö
SE,12556,Älvsjö
SE,12557,Älvsjö
SE,12558,Älvsjö
SE,12559,Älvsjö
SE,12560,Älvsjö
SE,12570,Älvsjö
SE,12571,Älvsjö
SE,12572,Älvsjö
SE,12573,Älvsjö
SE,12574,Älvsjö
SE,12580,Stockholm
SE,12582,Stockholm
SE,12586,Älvsjö
SE,12600,Hägersten
SE,12608,Stockholm
SE,12609,Hägersten
SE,12611,Stockholm
SE,12612,Stockholm
SE,12613,Stockholm
SE,12614,Stockholm
SE,12615,Stockholm
SE,12616,Stockholm
SE,12617,Stockholm
SE,12620,Stockholm
SE,12625,Stockholm
SE,12626,Hägersten
SE,12627,Stockholm
SE,12628,Hägersten
SE,12629,Hägersten
SE,12630,Hägersten
SE,12631,Hägersten
SE,12632,Hägersten
SE,12633,Hägersten
SE,12634,Hägersten
SE,12635,Hägersten
SE,12636,Hägersten
SE,12637,Hägersten
SE,12638,Hägersten
SE,12639,Hägersten
SE,12640,Hägersten
SE,12641,Hägersten
SE,12642,Hägersten
SE,12647,Hägersten
SE,12648,Hägersten
SE,12649,Hägersten
SE,12650,Hägersten
SE,12651,Hägersten
SE,12652,Hägersten
SE,12653,Hägersten
SE,12654,Hägersten
SE,12655,Hägersten
SE,12677,Hägersten
SE,12678,Hägersten
SE,12679,Hägersten
SE,12680,Stockholm
SE,12681,Stockholm
SE,12686,Stockholm
SE,12688,Stockholm
SE,12700,Skärholmen
SE,12702,Skärholmen
SE,12720,Skärholmen
SE,12724,Skärholmen
SE,12726,Skärholmen
SE,12729,Stockholm
SE,12730,Skärholmen
SE,12731,Skärholmen
SE,12732,Skärholmen
SE,12733,Skärholmen
SE,12734,Skärholmen
SE,12735,Skärholmen
SE,12736,Skärholmen
SE,12737,Skärholmen
SE,12738,Skärholmen
SE,12739,Skärholmen
SE,12740,Skärholmen
SE,12741,Skärholmen
SE,12742,Skärholmen
SE,12743,Skärholmen
SE,12744,Skärholmen
